Crypto,Stock,Date,"Buy (-1), Sell(+1)",Price,Share
0,ABT,3/31/21,-1,119.96,9.62
0,ABT,4/9/21,-1,119.43,8.37
0,ABT,4/15/21,1,122.28,0.99
0,ABT,4/16/21,1,123.28,17
0,AAPL,5/4/21,-1,127.99,5
0,BILI,5/4/21,-1,104.65,10
0,BILI,5/13/21,-1,87.99,5
0,BRK.B,5/4/21,-1,277.51,5
0,BRK.B,5/13/21,1,287.78,5
1,BTC,4/20/21,-1,56219.22,0.09
1,BTC,4/26/21,1,53574.24,0.02
1,BTC,4/27/21,1,54964.71,0.01
1,BTC,5/4/21,1,54691.62,0.02
0,COPX,5/7/21,-1,44.26,0.56
0,COUR,4/1/21,-1,45.5,21.98
0,COUR,4/1/21,-1,51.93,20.13
0,COUR,4/12/21,-1,50.88,19.65
0,COUR,4/16/21,-1,46.08,30
0,COUR,4/26/21,1,48.72,20
0,COUR,5/4/21,1,45.5,20
0,CVS,3/20/21,-1,72.92,27.43
0,CVS,4/1/21,1,74.56,14.02
0,CVS,4/14/21,1,74.15,13.41
1,DOGE,4/19/21,-1,0.38,1315
1,DOGE,4/25/21,-1,0.26,766
1,DOGE,5/4/21,1,0.53,947
1,DOGE,5/4/21,1,0.53,941
0,GOEX,5/7/21,-1,33.96,0.74
0,TSLA,3/26/21,-1,638.06,12.54
0,TSLA,4/7/21,1,688.76,3.14
0,TSLA,4/14/21,1,774.68,9.4
0,VIG,4/20/21,-1,152.14,50
0,VIG,5/13/21,1,154.65,50.64